,year,h_a,hosp,prcd,waiting,comp,wait_med,wait_90,wait_median_d,wait_90_d
86,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Other Procedures,30,59,4.0,34.2,28.0,239.40000000000003
88,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Aortic Aneurysm Repair,18,14,5.1,12.1,35.699999999999996,84.7
90,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Biopsy in OR,6,37,1.9,8.8,13.299999999999999,61.60000000000001
91,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bladder Surgery,199,251,6.3,36.3,44.1,254.09999999999997
92,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Bowel Resection,5,112,3.1,7.8,21.7,54.6
93,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Biopsy,16,129,2.9,8.5,20.3,59.5
94,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reconstruction,22,37,6.7,29.8,46.9,208.6
95,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Breast Reduction,252,175,32.0,76.8,224.0,537.6
96,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cholecystectomy,74,237,8.0,20.6,56.0,144.20000000000002
97,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Colostomy/Ileostomy,3,9,4.6,19.8,32.199999999999996,138.6
99,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Cyst/Ganglion Removal,3,6,5.4,13.4,37.800000000000004,93.8
100,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,D&C and Related Surgery,51,169,7.1,25.8,49.699999999999996,180.6
101,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Dental Surgery,41,274,4.1,13.0,28.699999999999996,91.0
102,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Endarterectomy,12,80,4.5,11.1,31.5,77.7
103,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Examination Under Anaesthetic,8,12,5.2,11.8,36.4,82.60000000000001
104,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Gynecomastia,11,33,8.4,70.3,58.800000000000004,492.09999999999997
105,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Excision Lesion/Tumour,18,60,5.6,25.0,39.199999999999996,175.0
107,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fallopian Tube/Ovarian Surgery,117,199,11.1,25.3,77.7,177.1
108,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,Fistula Repair - Non Vascular,9,15,18.7,38.5,130.9,269.5
