,year,h_a,hosp,prcd,waiting,comp,wait_med,wait_90,wait_median_d,wait_90_d
87,2009/10,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,2376,5041,7.3,30.3,51.1,212.1
241,2009/10,Fraser,Burnaby Hospital,All Procedures,2881,7173,6.4,33.0,44.800000000000004,231.0
310,2009/10,Fraser,Chilliwack General Hospital,All Procedures,2473,7830,10.0,28.0,70.0,196.0
372,2009/10,Fraser,Delta Hospital,All Procedures,981,4431,2.7,17.0,18.900000000000002,119.0
428,2009/10,Fraser,Eagle Ridge Hospital,All Procedures,2671,5328,6.7,24.4,46.9,170.79999999999998
496,2009/10,Fraser,Langley Memorial Hospital,All Procedures,1510,6234,6.0,28.3,42.0,198.1
555,2009/10,Fraser,Mission Memorial Hospital,All Procedures,0,405,6.0,36.1,42.0,252.70000000000002
590,2009/10,Fraser,Peace Arch Hospital,All Procedures,1846,3101,8.7,41.1,60.89999999999999,287.7
650,2009/10,Fraser,Ridge Meadows Hospital,All Procedures,2194,6487,6.9,31.6,48.300000000000004,221.20000000000002
706,2009/10,Fraser,Royal Columbian Hospital,All Procedures,1135,3976,2.1,13.5,14.700000000000001,94.5
776,2009/10,Fraser,Surrey Memorial Hospital,All Procedures,4801,11929,5.3,24.7,37.1,172.9
854,2009/10,Interior,100 Mile District General Hospital,All Procedures,11,33,14.1,26.5,98.7,185.5
943,2009/10,Interior,Cariboo Memorial Hospital,All Procedures,73,1404,2.3,6.0,16.099999999999998,42.0
980,2009/10,Interior,Creston Valley Hospital,All Procedures,8,44,4.5,15.6,31.5,109.2
990,2009/10,Interior,East Kootenay Regional Hospital,All Procedures,1001,3573,5.4,19.0,37.800000000000004,133.0
1051,2009/10,Interior,Elk Valley Hospital,All Procedures,44,135,6.7,17.7,46.9,123.89999999999999
1071,2009/10,Interior,Golden And District General Hospital,All Procedures,25,187,1.1,2.4,7.700000000000001,16.8
1089,2009/10,Interior,Kelowna General Hospital,All Procedures,4053,10397,6.0,26.3,42.0,184.1
1172,2009/10,Interior,Kootenay Boundary Regional Hospital,All Procedures,1252,3179,7.1,27.3,49.699999999999996,191.1
1237,2009/10,Interior,Kootenay Lake Hospital,All Procedures,129,737,5.7,14.8,39.9,103.60000000000001
1267,2009/10,Interior,Lillooet Hospital And Health Centre,All Procedures,8,33,6.9,32.3,48.300000000000004,226.09999999999997
1275,2009/10,Interior,Penticton Regional Hospital,All Procedures,923,3412,3.6,22.0,25.2,154.0
1337,2009/10,Interior,Pleasant Valley Health Centre,All Procedures,402,1822,7.0,17.4,49.0,121.79999999999998
1343,2009/10,Interior,Queen Victoria Hospital,All Procedures,23,140,6.0,16.7,42.0,116.89999999999999
1367,2009/10,Interior,Royal Inland Hospital,All Procedures,5046,8011,10.3,37.0,72.10000000000001,259.0
1444,2009/10,Interior,Shuswap Lake General Hospital,All Procedures,252,954,6.3,16.1,44.1,112.70000000000002
1485,2009/10,Interior,Summerland Memorial Health Centre,All Procedures,368,1898,2.0,8.3,14.0,58.10000000000001
1504,2009/10,Interior,Vernon Jubilee Hospital,All Procedures,1205,4412,6.6,25.4,46.199999999999996,177.79999999999998
1643,2009/10,Northern,Bulkley Valley District Hospital,All Procedures,151,356,8.7,35.2,60.89999999999999,246.40000000000003
1680,2009/10,Northern,Dawson Creek And District Hospital,All Procedures,311,1081,5.0,21.0,35.0,147.0
1731,2009/10,Northern,Fort Nelson General Hospital,All Procedures,0,20,0.1,0.5,0.7000000000000001,3.5
1737,2009/10,Northern,Fort St John General Hospital,All Procedures,492,1795,5.9,27.3,41.300000000000004,191.1
1789,2009/10,Northern,G.R. Baker Memorial Hospital,All Procedures,421,1955,3.1,22.1,21.7,154.70000000000002
1838,2009/10,Northern,Kitimat General Hospital,All Procedures,92,529,5.7,29.7,39.9,207.9
1877,2009/10,Northern,Lakes District Hospital And Health Centre,All Procedures,0,6,0.0,0.0,0.0,0.0
1880,2009/10,Northern,Mills Memorial Hospital,All Procedures,128,997,2.4,11.5,16.8,80.5
1919,2009/10,Northern,Prince Rupert Regional Hospital,All Procedures,16,588,2.4,7.7,16.8,53.9
1963,2009/10,Northern,St. John Hospital,All Procedures,264,1007,8.7,26.6,60.89999999999999,186.20000000000002
2002,2009/10,Northern,The University Hospital Of Northern British Columbia,All Procedures,2625,5428,6.4,46.9,44.800000000000004,328.3
2075,2009/10,Northern,Wrinch Memorial Hospital,All Procedures,25,88,8.1,20.9,56.699999999999996,146.29999999999998
2123,2009/10,Provincial Health Services Authority,B.C. Cancer Agency,All Procedures,38,511,2.3,8.3,16.099999999999998,58.10000000000001
2158,2009/10,Provincial Health Services Authority,B.C. Women'S Hospital,All Procedures,283,1511,5.7,14.0,39.9,98.0
2256,2009/10,Vancouver Coastal,Lions Gate Hospital,All Procedures,2074,9188,3.9,16.9,27.3,118.29999999999998
2324,2009/10,Vancouver Coastal,Mount Saint Joseph Hospital,All Procedures,1923,10458,3.7,12.9,25.900000000000002,90.3
2380,2009/10,Vancouver Coastal,Powell River General Hospital,All Procedures,155,962,5.9,14.7,41.300000000000004,102.89999999999999
2419,2009/10,Vancouver Coastal,Richmond Hospital,All Procedures,2241,5912,6.1,27.3,42.699999999999996,191.1
2485,2009/10,Vancouver Coastal,Sechelt Hospital,All Procedures,48,681,3.1,17.0,21.7,119.0
2518,2009/10,Vancouver Coastal,Squamish General Hospital,All Procedures,254,712,3.9,19.1,27.3,133.70000000000002
2565,2009/10,Vancouver Coastal,St. Paul'S Hospital,All Procedures,2574,6761,3.9,20.1,27.3,140.70000000000002
2636,2009/10,Vancouver Coastal,Ubc Health Sciences Centre,All Procedures,3353,10048,5.0,21.7,35.0,151.9
2704,2009/10,Vancouver Coastal,Vancouver General Hospital,All Procedures,2888,12574,4.1,20.1,28.699999999999996,140.70000000000002
2867,2009/10,Vancouver Island,Campbell River And District General Hospital,All Procedures,729,2680,7.4,24.7,51.800000000000004,172.9
2929,2009/10,Vancouver Island,Cowichan District Hospital,All Procedures,805,3560,6.1,19.9,42.699999999999996,139.29999999999998
2990,2009/10,Vancouver Island,Nanaimo Regional General Hospital,All Procedures,3135,9084,7.6,26.4,53.199999999999996,184.79999999999998
3059,2009/10,Vancouver Island,Royal Jubilee Hospital,All Procedures,3541,10847,4.9,19.9,34.300000000000004,139.29999999999998
3130,2009/10,Vancouver Island,Saanich Peninsula Hospital,All Procedures,570,2405,6.6,20.9,46.199999999999996,146.29999999999998
3182,2009/10,Vancouver Island,St. Joseph'S General Hospital,All Procedures,1682,4543,5.4,21.0,37.800000000000004,147.0
3243,2009/10,Vancouver Island,Victoria General Hospital,All Procedures,3105,9699,5.3,20.9,37.1,146.29999999999998
3313,2009/10,Vancouver Island,West Coast General Hospital,All Procedures,255,992,5.9,25.0,41.300000000000004,175.0
3441,2010/11,Fraser,Abbotsford Regional Hospital And Cancer Centre,All Procedures,2051,5901,7.3,37.9,51.1,265.3
3595,2010/11,Fraser,Burnaby Hospital,All Procedures,3637,7017,9.6,32.0,67.2,224.0
3661,2010/11,Fraser,Chilliwack General Hospital,All Procedures,2465,8127,9.0,25.1,63.0,175.70000000000002
3724,2010/11,Fraser,Delta Hospital,All Procedures,778,4571,2.7,16.1,18.900000000000002,112.70000000000002
3781,2010/11,Fraser,Eagle Ridge Hospital,All Procedures,2503,5426,8.7,33.1,60.89999999999999,231.70000000000002
3848,2010/11,Fraser,Langley Memorial Hospital,All Procedures,1874,5153,8.9,26.7,62.300000000000004,186.9
3943,2010/11,Fraser,Peace Arch Hospital,All Procedures,2160,3295,9.9,39.9,69.3,279.3
4003,2010/11,Fraser,Ridge Meadows Hospital,All Procedures,2567,6762,7.0,28.0,49.0,196.0
4062,2010/11,Fraser,Royal Columbian Hospital,All Procedures,1230,3900,2.4,19.7,16.8,137.9
4130,2010/11,Fraser,Surrey Memorial Hospital,All Procedures,5399,12305,7.7,28.3,53.9,198.1
4207,2010/11,Interior,100 Mile District General Hospital,All Procedures,14,31,13.3,23.3,93.10000000000001,163.1
4297,2010/11,Interior,Cariboo Memorial Hospital,All Procedures,92,1396,2.4,6.0,16.8,42.0
4335,2010/11,Interior,Creston Valley Hospital,All Procedures,12,53,5.0,17.0,35.0,119.0
4344,2010/11,Interior,East Kootenay Regional Hospital,All Procedures,955,3620,4.6,22.1,32.199999999999996,154.70000000000002
4404,2010/11,Interior,Elk Valley Hospital,All Procedures,57,176,9.2,23.7,64.39999999999999,165.9
4424,2010/11,Interior,Golden And District General Hospital,All Procedures,3,174,1.9,9.0,13.299999999999999,63.0
4442,2010/11,Interior,Kelowna General Hospital,All Procedures,3650,11144,6.4,30.1,44.800000000000004,210.70000000000002
4525,2010/11,Interior,Kootenay Boundary Regional Hospital,All Procedures,1254,3132,6.6,32.9,46.199999999999996,230.29999999999998
4589,2010/11,Interior,Kootenay Lake Hospital,All Procedures,87,909,3.7,12.9,25.900000000000002,90.3
4624,2010/11,Interior,Lillooet Hospital And Health Centre,All Procedures,11,31,11.1,27.0,77.7,189.0
