,year,h_a,hosp,prcd,waiting,comp,wait_med,wait_90,wait_median_d,wait_90_d
0,2009/10,All Health Authorities,All Facilities,Abdominoplasty,52,100,9.1,42.6,63.699999999999996,298.2
1,2009/10,All Health Authorities,All Facilities,All Other Procedures,1347,6287,4.0,17.1,28.0,119.70000000000002
3,2009/10,All Health Authorities,All Facilities,Aortic Aneurysm Repair,96,365,3.7,13.5,25.900000000000002,94.5
4,2009/10,All Health Authorities,All Facilities,Appendectomy,19,88,3.7,9.1,25.900000000000002,63.699999999999996
5,2009/10,All Health Authorities,All Facilities,Bariatric Surgery,530,201,16.6,151.7,116.20000000000002,1061.8999999999999
6,2009/10,All Health Authorities,All Facilities,Biopsy in OR,438,2918,2.9,10.7,20.3,74.89999999999999
7,2009/10,All Health Authorities,All Facilities,Bladder Surgery,1830,6003,4.4,23.3,30.800000000000004,163.1
8,2009/10,All Health Authorities,All Facilities,Bowel Resection,376,2732,2.6,9.9,18.2,69.3
9,2009/10,All Health Authorities,All Facilities,Breast Biopsy,230,2571,2.4,6.4,16.8,44.800000000000004
10,2009/10,All Health Authorities,All Facilities,Breast Reconstruction,473,1112,6.0,29.6,42.0,207.20000000000002
11,2009/10,All Health Authorities,All Facilities,Breast Reduction,1449,1743,14.0,46.0,98.0,322.0
12,2009/10,All Health Authorities,All Facilities,Cataract Surgery,12982,47146,6.6,25.1,46.199999999999996,175.70000000000002
13,2009/10,All Health Authorities,All Facilities,Cholecystectomy,1608,5713,5.0,19.1,35.0,133.70000000000002
14,2009/10,All Health Authorities,All Facilities,Colostomy/Ileostomy,185,625,5.1,19.6,35.699999999999996,137.20000000000002
15,2009/10,All Health Authorities,All Facilities,Cone Biopsy,77,662,3.0,9.1,21.0,63.699999999999996
16,2009/10,All Health Authorities,All Facilities,Cranial Surgery,85,929,1.1,7.7,7.700000000000001,53.9
17,2009/10,All Health Authorities,All Facilities,CSF Drainage,5,63,1.9,8.2,13.299999999999999,57.39999999999999
18,2009/10,All Health Authorities,All Facilities,Cyst/Ganglion Removal,465,1469,5.4,20.6,37.800000000000004,144.20000000000002
19,2009/10,All Health Authorities,All Facilities,D&C and Related Surgery,1063,5702,3.7,14.4,25.900000000000002,100.8
20,2009/10,All Health Authorities,All Facilities,Dental Surgery,2158,5251,7.0,26.1,49.0,182.70000000000002
21,2009/10,All Health Authorities,All Facilities,Endarterectomy,131,619,3.3,12.3,23.099999999999998,86.10000000000001
22,2009/10,All Health Authorities,All Facilities,Esophagectomy,17,119,2.7,12.4,18.900000000000002,86.8
23,2009/10,All Health Authorities,All Facilities,Examination Under Anaesthetic,134,611,3.9,13.9,27.3,97.3
24,2009/10,All Health Authorities,All Facilities,Excision Gynecomastia,87,200,7.4,39.2,51.800000000000004,274.40000000000003
25,2009/10,All Health Authorities,All Facilities,Excision Lesion/Tumour,485,2160,3.3,14.3,23.099999999999998,100.10000000000001
26,2009/10,All Health Authorities,All Facilities,Facial Bone Reconstruction,410,829,4.1,41.0,28.699999999999996,287.0
27,2009/10,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1277,3957,5.7,20.1,39.9,140.70000000000002
28,2009/10,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,37,145,4.9,22.2,34.300000000000004,155.4
29,2009/10,All Health Authorities,All Facilities,Foot/Ankle Surgery,416,770,6.7,35.6,46.9,249.20000000000002
30,2009/10,All Health Authorities,All Facilities,Foreign Body Removal Surgery,52,247,2.3,16.9,16.099999999999998,118.29999999999998
31,2009/10,All Health Authorities,All Facilities,Fracture Repair,237,1452,0.4,9.6,2.8000000000000003,67.2
32,2009/10,All Health Authorities,All Facilities,Free Flap Graft,26,116,3.0,16.9,21.0,118.29999999999998
33,2009/10,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,3,57,1.1,7.7,7.700000000000001,53.9
34,2009/10,All Health Authorities,All Facilities,Hand/Wrist Surgery,838,2236,6.3,24.0,44.1,168.0
35,2009/10,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4105,10479,7.0,27.1,49.0,189.70000000000002
37,2009/10,All Health Authorities,All Facilities,Hernia Repair - Hiatal,206,269,10.9,35.9,76.3,251.29999999999998
38,2009/10,All Health Authorities,All Facilities,Hip Replacement,1576,4242,10.4,27.6,72.8,193.20000000000002
39,2009/10,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,168,1237,3.1,10.0,21.7,70.0
40,2009/10,All Health Authorities,All Facilities,Knee - ACL Repair,726,1731,8.1,28.7,56.699999999999996,200.9
41,2009/10,All Health Authorities,All Facilities,Knee - Meniscectomy,668,2003,6.0,29.8,42.0,208.6
42,2009/10,All Health Authorities,All Facilities,Knee Arthroscopy,2751,6810,6.4,27.7,44.800000000000004,193.9
43,2009/10,All Health Authorities,All Facilities,Knee Replacement,3354,6466,12.0,35.7,84.0,249.90000000000003
44,2009/10,All Health Authorities,All Facilities,Laparoscopy,462,1868,4.6,16.0,32.199999999999996,112.0
45,2009/10,All Health Authorities,All Facilities,Laparotomy,54,508,2.6,9.8,18.2,68.60000000000001
46,2009/10,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,442,2716,1.6,13.4,11.200000000000001,93.8
47,2009/10,All Health Authorities,All Facilities,Ligament Surgery,52,162,6.8,25.0,47.6,175.0
48,2009/10,All Health Authorities,All Facilities,Lipectomy,37,146,6.3,27.6,44.1,193.20000000000002
49,2009/10,All Health Authorities,All Facilities,Lung Surgery,61,582,2.4,5.0,16.8,35.0
50,2009/10,All Health Authorities,All Facilities,Male Reproductive Surgery,805,2117,5.6,22.5,39.199999999999996,157.5
51,2009/10,All Health Authorities,All Facilities,Mastectomy,346,3780,1.9,5.6,13.299999999999999,39.199999999999996
52,2009/10,All Health Authorities,All Facilities,Mastoidectomy,111,259,9.7,38.7,67.89999999999999,270.90000000000003
53,2009/10,All Health Authorities,All Facilities,Myringotomy,321,1387,4.7,13.3,32.9,93.10000000000001
54,2009/10,All Health Authorities,All Facilities,Nasal Surgery,2050,3004,10.0,40.0,70.0,280.0
55,2009/10,All Health Authorities,All Facilities,Nerve Surgery,596,1109,5.0,33.6,35.0,235.20000000000002
56,2009/10,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,87,341,6.6,24.7,46.199999999999996,172.9
57,2009/10,All Health Authorities,All Facilities,Other Ear Surgery,84,182,9.9,37.9,69.3,265.3
58,2009/10,All Health Authorities,All Facilities,Other Eye Surgery,1299,4005,4.6,27.1,32.199999999999996,189.70000000000002
59,2009/10,All Health Authorities,All Facilities,Other Joint Reconstruction,898,1819,7.9,41.6,55.300000000000004,291.2
60,2009/10,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2568,6422,5.6,28.9,39.199999999999996,202.29999999999998
61,2009/10,All Health Authorities,All Facilities,Other Urology Surgery,1528,6699,3.7,16.9,25.900000000000002,118.29999999999998
62,2009/10,All Health Authorities,All Facilities,Parotidectomy,109,311,5.0,21.9,35.0,153.29999999999998
63,2009/10,All Health Authorities,All Facilities,Prostate Surgery,1330,5113,4.9,19.6,34.300000000000004,137.20000000000002
64,2009/10,All Health Authorities,All Facilities,Rectal Surgery,815,1581,7.0,27.7,49.0,193.9
65,2009/10,All Health Authorities,All Facilities,Rib Resection,47,50,27.4,68.9,191.79999999999998,482.30000000000007
66,2009/10,All Health Authorities,All Facilities,Scope of Chest,69,714,2.0,5.0,14.0,35.0
67,2009/10,All Health Authorities,All Facilities,Shoulder Surgery,2010,2884,10.1,41.9,70.7,293.3
68,2009/10,All Health Authorities,All Facilities,Shunt Insertion/Removal,10,69,1.0,5.3,7.0,37.1
69,2009/10,All Health Authorities,All Facilities,Sinus Surgery,1304,1686,10.4,41.6,72.8,291.2
70,2009/10,All Health Authorities,All Facilities,Skin Surgery,267,920,3.9,25.9,27.3,181.29999999999998
71,2009/10,All Health Authorities,All Facilities,Skin Tumour Removal,691,2901,3.4,17.3,23.8,121.10000000000001
72,2009/10,All Health Authorities,All Facilities,Sphincterotomy,75,190,4.0,21.6,28.0,151.20000000000002
73,2009/10,All Health Authorities,All Facilities,Spinal/Back Surgery,1662,3135,5.9,30.0,41.300000000000004,210.0
74,2009/10,All Health Authorities,All Facilities,Tendon Surgery,231,728,2.0,20.0,14.0,140.0
75,2009/10,All Health Authorities,All Facilities,Thoracotomy,18,145,3.1,7.1,21.7,49.699999999999996
76,2009/10,All Health Authorities,All Facilities,Thyroidectomy,309,1263,4.9,16.1,34.300000000000004,112.70000000000002
77,2009/10,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,1676,3272,9.9,31.0,69.3,217.0
78,2009/10,All Health Authorities,All Facilities,Tympanoplasty,512,720,12.0,50.0,84.0,350.0
79,2009/10,All Health Authorities,All Facilities,Uterine Surgery,2773,11980,5.0,17.7,35.0,123.89999999999999
80,2009/10,All Health Authorities,All Facilities,Vaginal Repair,649,1588,8.1,32.2,56.699999999999996,225.40000000000003
81,2009/10,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1701,1169,10.0,58.9,70.0,412.3
