,year,h_a,hosp,prcd,waiting,comp,wait_med,wait_90,wait_median_d,wait_90_d
155,2009/10,Fraser,All Facilities,Abdominoplasty,19,26,11.6,20.4,81.2,142.79999999999998
156,2009/10,Fraser,All Facilities,All Other Procedures,263,971,3.7,19.0,25.900000000000002,133.0
158,2009/10,Fraser,All Facilities,Aortic Aneurysm Repair,58,87,4.9,19.6,34.300000000000004,137.20000000000002
159,2009/10,Fraser,All Facilities,Appendectomy,8,23,4.7,8.8,32.9,61.60000000000001
160,2009/10,Fraser,All Facilities,Bariatric Surgery,8,35,4.7,12.1,32.9,84.7
161,2009/10,Fraser,All Facilities,Biopsy in OR,58,438,1.9,5.9,13.299999999999999,41.300000000000004
162,2009/10,Fraser,All Facilities,Bladder Surgery,669,1840,4.2,25.1,29.400000000000002,175.70000000000002
163,2009/10,Fraser,All Facilities,Bowel Resection,90,749,2.6,7.9,18.2,55.300000000000004
164,2009/10,Fraser,All Facilities,Breast Biopsy,71,825,2.1,5.9,14.700000000000001,41.300000000000004
165,2009/10,Fraser,All Facilities,Breast Reconstruction,90,266,6.6,24.9,46.199999999999996,174.29999999999998
166,2009/10,Fraser,All Facilities,Breast Reduction,610,617,17.1,62.4,119.70000000000002,436.8
167,2009/10,Fraser,All Facilities,Cataract Surgery,6558,15320,11.1,35.7,77.7,249.90000000000003
168,2009/10,Fraser,All Facilities,Cholecystectomy,593,2125,4.4,19.5,30.800000000000004,136.5
169,2009/10,Fraser,All Facilities,Colostomy/Ileostomy,40,179,5.9,19.1,41.300000000000004,133.70000000000002
170,2009/10,Fraser,All Facilities,Cone Biopsy,30,245,3.0,8.7,21.0,60.89999999999999
171,2009/10,Fraser,All Facilities,Cranial Surgery,17,270,0.7,4.6,4.8999999999999995,32.199999999999996
173,2009/10,Fraser,All Facilities,Cyst/Ganglion Removal,67,278,6.2,20.2,43.4,141.4
174,2009/10,Fraser,All Facilities,D&C and Related Surgery,424,1644,3.7,15.7,25.900000000000002,109.89999999999999
175,2009/10,Fraser,All Facilities,Dental Surgery,337,1079,5.1,23.2,35.699999999999996,162.4
176,2009/10,Fraser,All Facilities,Endarterectomy,21,168,3.1,10.1,21.7,70.7
177,2009/10,Fraser,All Facilities,Esophagectomy,3,32,1.2,3.0,8.4,21.0
178,2009/10,Fraser,All Facilities,Examination Under Anaesthetic,46,181,3.4,14.4,23.8,100.8
179,2009/10,Fraser,All Facilities,Excision Gynecomastia,46,101,13.1,58.9,91.7,412.3
180,2009/10,Fraser,All Facilities,Excision Lesion/Tumour,146,513,3.7,14.0,25.900000000000002,98.0
181,2009/10,Fraser,All Facilities,Facial Bone Reconstruction,50,183,3.9,14.2,27.3,99.39999999999999
182,2009/10,Fraser,All Facilities,Fallopian Tube/Ovarian Surgery,503,1116,6.7,25.0,46.9,175.0
183,2009/10,Fraser,All Facilities,Fistula Repair - Non Vascular,26,83,4.6,20.9,32.199999999999996,146.29999999999998
184,2009/10,Fraser,All Facilities,Foot/Ankle Surgery,124,236,10.2,36.8,71.39999999999999,257.59999999999997
185,2009/10,Fraser,All Facilities,Foreign Body Removal Surgery,12,88,0.9,11.4,6.3,79.8
186,2009/10,Fraser,All Facilities,Fracture Repair,74,751,0.3,4.0,2.1,28.0
187,2009/10,Fraser,All Facilities,Free Flap Graft,3,9,2.4,9.0,16.8,63.0
188,2009/10,Fraser,All Facilities,Gastrostomy/Jejunostomy,0,5,1.4,3.8,9.799999999999999,26.599999999999998
189,2009/10,Fraser,All Facilities,Hand/Wrist Surgery,235,569,6.1,21.1,42.699999999999996,147.70000000000002
190,2009/10,Fraser,All Facilities,Hernia Repair - Abdominal,1286,3110,7.4,26.9,51.800000000000004,188.29999999999998
191,2009/10,Fraser,All Facilities,Hernia Repair - Hiatal,57,62,6.9,22.0,48.300000000000004,154.0
192,2009/10,Fraser,All Facilities,Hip Replacement,265,748,10.2,26.8,71.39999999999999,187.6
193,2009/10,Fraser,All Facilities,Kidney/Bladder Stone Removal,26,130,3.0,15.1,21.0,105.7
194,2009/10,Fraser,All Facilities,Knee - ACL Repair,242,480,10.0,26.5,70.0,185.5
195,2009/10,Fraser,All Facilities,Knee - Meniscectomy,213,530,11.6,45.6,81.2,319.2
196,2009/10,Fraser,All Facilities,Knee Arthroscopy,754,2133,5.0,22.6,35.0,158.20000000000002
197,2009/10,Fraser,All Facilities,Knee Replacement,798,1563,13.0,35.0,91.0,245.0
198,2009/10,Fraser,All Facilities,Laparoscopy,170,604,4.3,18.4,30.099999999999998,128.79999999999998
199,2009/10,Fraser,All Facilities,Laparotomy,17,212,2.9,12.1,20.3,84.7
200,2009/10,Fraser,All Facilities,Lens & Vitreous (non-cataract) Surgery,231,1257,1.9,14.4,13.299999999999999,100.8
201,2009/10,Fraser,All Facilities,Ligament Surgery,14,99,7.3,24.3,51.1,170.1
202,2009/10,Fraser,All Facilities,Lipectomy,3,24,6.7,28.7,46.9,200.9
203,2009/10,Fraser,All Facilities,Lung Surgery,23,112,2.7,5.4,18.900000000000002,37.800000000000004
204,2009/10,Fraser,All Facilities,Male Reproductive Surgery,258,637,3.9,23.6,27.3,165.20000000000002
205,2009/10,Fraser,All Facilities,Mastectomy,75,814,2.0,6.1,14.0,42.699999999999996
206,2009/10,Fraser,All Facilities,Mastoidectomy,24,38,9.1,17.9,63.699999999999996,125.29999999999998
207,2009/10,Fraser,All Facilities,Myringotomy,134,466,4.4,12.6,30.800000000000004,88.2
208,2009/10,Fraser,All Facilities,Nasal Surgery,702,873,10.9,41.9,76.3,293.3
209,2009/10,Fraser,All Facilities,Nerve Surgery,146,265,6.1,22.0,42.699999999999996,154.0
210,2009/10,Fraser,All Facilities,Oral Cavity & Pharynx Surgery,40,159,7.3,31.2,51.1,218.4
211,2009/10,Fraser,All Facilities,Other Ear Surgery,10,43,11.9,46.1,83.3,322.7
212,2009/10,Fraser,All Facilities,Other Eye Surgery,227,683,4.7,31.0,32.9,217.0
213,2009/10,Fraser,All Facilities,Other Joint Reconstruction,142,430,8.3,49.7,58.10000000000001,347.90000000000003
214,2009/10,Fraser,All Facilities,Other Orthopaedic Surgery,527,1635,6.0,28.9,42.0,202.29999999999998
215,2009/10,Fraser,All Facilities,Other Urology Surgery,406,1738,3.3,13.1,23.099999999999998,91.7
216,2009/10,Fraser,All Facilities,Parotidectomy,20,84,4.7,13.9,32.9,97.3
217,2009/10,Fraser,All Facilities,Prostate Surgery,533,1366,5.7,25.0,39.9,175.0
218,2009/10,Fraser,All Facilities,Rectal Surgery,197,329,7.9,26.1,55.300000000000004,182.70000000000002
220,2009/10,Fraser,All Facilities,Scope of Chest,21,149,2.0,6.7,14.0,46.9
221,2009/10,Fraser,All Facilities,Shoulder Surgery,325,662,11.5,32.1,80.5,224.70000000000002
222,2009/10,Fraser,All Facilities,Shunt Insertion/Removal,3,46,0.9,3.5,6.3,24.5
223,2009/10,Fraser,All Facilities,Sinus Surgery,372,716,10.9,46.6,76.3,326.2
224,2009/10,Fraser,All Facilities,Skin Surgery,79,273,3.9,28.4,27.3,198.79999999999998
225,2009/10,Fraser,All Facilities,Skin Tumour Removal,299,967,3.6,21.1,25.2,147.70000000000002
226,2009/10,Fraser,All Facilities,Sphincterotomy,29,58,5.4,35.1,37.800000000000004,245.70000000000002
227,2009/10,Fraser,All Facilities,Spinal/Back Surgery,665,643,7.7,39.4,53.9,275.8
228,2009/10,Fraser,All Facilities,Tendon Surgery,48,236,0.3,10.4,2.1,72.8
229,2009/10,Fraser,All Facilities,Thoracotomy,3,27,1.6,4.4,11.200000000000001,30.800000000000004
230,2009/10,Fraser,All Facilities,Thyroidectomy,58,356,4.6,13.8,32.199999999999996,96.60000000000001
231,2009/10,Fraser,All Facilities,Tonsillectomy/Adenoidectomy,437,1060,8.9,26.7,62.300000000000004,186.9
232,2009/10,Fraser,All Facilities,Tympanoplasty,112,133,8.6,30.0,60.199999999999996,210.0
233,2009/10,Fraser,All Facilities,Uterine Surgery,974,3311,5.6,18.7,39.199999999999996,130.9
234,2009/10,Fraser,All Facilities,Vaginal Repair,196,371,9.1,34.0,63.699999999999996,238.0
235,2009/10,Fraser,All Facilities,Varicose Veins Ligation/Stripping,203,223,5.0,48.6,35.0,340.2
236,2009/10,Fraser,All Facilities,Vascular Bypass Graft - Non Cardiac,29,167,3.3,12.7,23.099999999999998,88.89999999999999
237,2009/10,Fraser,All Facilities,Vascular Surgery - Other,51,369,2.1,6.9,14.700000000000001,48.300000000000004
238,2009/10,Fraser,All Facilities,Wound/Laceration Care,127,491,2.9,18.6,20.3,130.20000000000002
858,2009/10,Interior,All Facilities,Abdominoplasty,8,24,19.9,38.0,139.29999999999998,266.0
859,2009/10,Interior,All Facilities,All Other Procedures,163,734,3.3,16.6,23.099999999999998,116.20000000000002
861,2009/10,Interior,All Facilities,Aortic Aneurysm Repair,5,44,2.7,12.1,18.900000000000002,84.7
862,2009/10,Interior,All Facilities,Appendectomy,3,10,3.4,5.5,23.8,38.5
864,2009/10,Interior,All Facilities,Biopsy in OR,87,603,2.7,9.8,18.900000000000002,68.60000000000001
865,2009/10,Interior,All Facilities,Bladder Surgery,299,1217,5.4,27.1,37.800000000000004,189.70000000000002
866,2009/10,Interior,All Facilities,Bowel Resection,70,576,2.4,7.9,16.8,55.300000000000004
867,2009/10,Interior,All Facilities,Breast Biopsy,35,547,2.3,6.1,16.099999999999998,42.699999999999996
868,2009/10,Interior,All Facilities,Breast Reconstruction,66,161,5.0,24.0,35.0,168.0
869,2009/10,Interior,All Facilities,Breast Reduction,225,314,9.9,36.8,69.3,257.59999999999997
870,2009/10,Interior,All Facilities,Cataract Surgery,1840,7708,6.9,24.4,48.300000000000004,170.79999999999998
871,2009/10,Interior,All Facilities,Cholecystectomy,317,1077,4.7,16.3,32.9,114.10000000000001
872,2009/10,Interior,All Facilities,Colostomy/Ileostomy,37,142,5.6,17.5,39.199999999999996,122.5
873,2009/10,Interior,All Facilities,Cone Biopsy,13,109,2.7,7.4,18.900000000000002,51.800000000000004
874,2009/10,Interior,All Facilities,Cranial Surgery,7,81,1.9,9.1,13.299999999999999,63.699999999999996
875,2009/10,Interior,All Facilities,Cyst/Ganglion Removal,81,249,5.1,22.5,35.699999999999996,157.5
876,2009/10,Interior,All Facilities,D&C and Related Surgery,280,2033,3.9,14.4,27.3,100.8
877,2009/10,Interior,All Facilities,Dental Surgery,362,1096,4.4,20.3,30.800000000000004,142.1
878,2009/10,Interior,All Facilities,Endarterectomy,20,130,2.2,11.9,15.400000000000002,83.3
879,2009/10,Interior,All Facilities,Esophagectomy,5,39,4.0,16.4,28.0,114.79999999999998
880,2009/10,Interior,All Facilities,Examination Under Anaesthetic,14,56,3.0,11.6,21.0,81.2
882,2009/10,Interior,All Facilities,Excision Lesion/Tumour,54,274,3.3,11.0,23.099999999999998,77.0
883,2009/10,Interior,All Facilities,Facial Bone Reconstruction,121,99,4.9,16.3,34.300000000000004,114.10000000000001
884,2009/10,Interior,All Facilities,Fallopian Tube/Ovarian Surgery,230,793,5.3,21.3,37.1,149.1
885,2009/10,Interior,All Facilities,Fistula Repair - Non Vascular,5,7,10.3,22.2,72.10000000000001,155.4
886,2009/10,Interior,All Facilities,Foot/Ankle Surgery,75,70,6.9,33.7,48.300000000000004,235.90000000000003
887,2009/10,Interior,All Facilities,Foreign Body Removal Surgery,17,72,3.2,19.0,22.400000000000002,133.0
888,2009/10,Interior,All Facilities,Fracture Repair,46,200,0.8,12.8,5.6000000000000005,89.60000000000001
889,2009/10,Interior,All Facilities,Free Flap Graft,10,35,6.0,31.7,42.0,221.9
890,2009/10,Interior,All Facilities,Gastrostomy/Jejunostomy,0,10,1.0,4.4,7.0,30.800000000000004
891,2009/10,Interior,All Facilities,Hand/Wrist Surgery,204,527,5.9,22.2,41.300000000000004,155.4
892,2009/10,Interior,All Facilities,Hernia Repair - Abdominal,798,2178,6.6,26.7,46.199999999999996,186.9
894,2009/10,Interior,All Facilities,Hernia Repair - Hiatal,46,71,15.1,38.1,105.7,266.7
895,2009/10,Interior,All Facilities,Hip Replacement,375,847,11.0,25.4,77.0,177.79999999999998
896,2009/10,Interior,All Facilities,Kidney/Bladder Stone Removal,42,203,3.4,13.2,23.8,92.39999999999999
897,2009/10,Interior,All Facilities,Knee - ACL Repair,135,325,9.0,29.3,63.0,205.1
898,2009/10,Interior,All Facilities,Knee - Meniscectomy,297,818,6.9,26.4,48.300000000000004,184.79999999999998
899,2009/10,Interior,All Facilities,Knee Arthroscopy,629,1281,6.1,28.4,42.699999999999996,198.79999999999998
900,2009/10,Interior,All Facilities,Knee Replacement,713,1357,12.4,33.4,86.8,233.79999999999998
901,2009/10,Interior,All Facilities,Laparoscopy,79,341,5.9,16.0,41.300000000000004,112.0
902,2009/10,Interior,All Facilities,Laparotomy,8,94,2.6,7.8,18.2,54.6
903,2009/10,Interior,All Facilities,Lens & Vitreous (non-cataract) Surgery,74,147,6.3,34.6,44.1,242.20000000000002
904,2009/10,Interior,All Facilities,Ligament Surgery,31,35,9.6,34.1,67.2,238.70000000000002
905,2009/10,Interior,All Facilities,Lipectomy,8,32,6.6,30.9,46.199999999999996,216.29999999999998
906,2009/10,Interior,All Facilities,Lung Surgery,3,66,3.9,5.9,27.3,41.300000000000004
907,2009/10,Interior,All Facilities,Male Reproductive Surgery,174,393,9.3,26.1,65.10000000000001,182.70000000000002
908,2009/10,Interior,All Facilities,Mastectomy,75,735,2.0,5.9,14.0,41.300000000000004
909,2009/10,Interior,All Facilities,Mastoidectomy,31,35,21.1,48.9,147.70000000000002,342.3
910,2009/10,Interior,All Facilities,Myringotomy,74,281,6.6,17.0,46.199999999999996,119.0
911,2009/10,Interior,All Facilities,Nasal Surgery,634,476,19.9,95.9,139.29999999999998,671.3000000000001
912,2009/10,Interior,All Facilities,Nerve Surgery,337,327,17.1,42.8,119.70000000000002,299.59999999999997
913,2009/10,Interior,All Facilities,Oral Cavity & Pharynx Surgery,8,18,4.1,12.3,28.699999999999996,86.10000000000001
914,2009/10,Interior,All Facilities,Other Ear Surgery,22,33,11.1,32.5,77.7,227.5
915,2009/10,Interior,All Facilities,Other Eye Surgery,126,234,8.5,43.3,59.5,303.09999999999997
