FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,COMPLETED_50TH_PERCENTILE,COMPLETED_90TH_PERCENTILE
2009/10,All Health Authorities,All Facilities,Abdominoplasty,52,100,9.1,42.6
2009/10,All Health Authorities,All Facilities,All Other Procedures,"1,347","6,287",4,17.1
2009/10,All Health Authorities,All Facilities,All Procedures,"72,056","219,284",5.3,24.3
2009/10,All Health Authorities,All Facilities,Aortic Aneurysm Repair,96,365,3.7,13.5
2009/10,All Health Authorities,All Facilities,Appendectomy,19,88,3.7,9.1
2009/10,All Health Authorities,All Facilities,Bariatric Surgery,530,201,16.6,151.7
2009/10,All Health Authorities,All Facilities,Biopsy in OR,438,"2,918",2.9,10.7
2009/10,All Health Authorities,All Facilities,Bladder Surgery,"1,830","6,003",4.4,23.3
2009/10,All Health Authorities,All Facilities,Bowel Resection,376,"2,732",2.6,9.9
2009/10,All Health Authorities,All Facilities,Breast Biopsy,230,"2,571",2.4,6.4
2009/10,All Health Authorities,All Facilities,Breast Reconstruction,473,"1,112",6,29.6
2009/10,All Health Authorities,All Facilities,Breast Reduction,"1,449","1,743",14,46
2009/10,All Health Authorities,All Facilities,Cataract Surgery,"12,982","47,146",6.6,25.1
2009/10,All Health Authorities,All Facilities,Cholecystectomy,"1,608","5,713",5,19.1
2009/10,All Health Authorities,All Facilities,Colostomy/Ileostomy,185,625,5.1,19.6
2009/10,All Health Authorities,All Facilities,Cone Biopsy,77,662,3,9.1
2009/10,All Health Authorities,All Facilities,Cranial Surgery,85,929,1.1,7.7
2009/10,All Health Authorities,All Facilities,CSF Drainage,5,63,1.9,8.2
2009/10,All Health Authorities,All Facilities,Cyst/Ganglion Removal,465,"1,469",5.4,20.6
2009/10,All Health Authorities,All Facilities,D&C and Related Surgery,"1,063","5,702",3.7,14.4
2009/10,All Health Authorities,All Facilities,Dental Surgery,"2,158","5,251",7,26.1
2009/10,All Health Authorities,All Facilities,Endarterectomy,131,619,3.3,12.3
2009/10,All Health Authorities,All Facilities,Esophagectomy,17,119,2.7,12.4
2009/10,All Health Authorities,All Facilities,Examination Under Anaesthetic,134,611,3.9,13.9
2009/10,All Health Authorities,All Facilities,Excision Gynecomastia,87,200,7.4,39.2
2009/10,All Health Authorities,All Facilities,Excision Lesion/Tumour,485,"2,160",3.3,14.3
2009/10,All Health Authorities,All Facilities,Facial Bone Reconstruction,410,829,4.1,41
2009/10,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,"1,277","3,957",5.7,20.1
2009/10,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,37,145,4.9,22.2
2009/10,All Health Authorities,All Facilities,Foot/Ankle Surgery,416,770,6.7,35.6
2009/10,All Health Authorities,All Facilities,Foreign Body Removal Surgery,52,247,2.3,16.9
2009/10,All Health Authorities,All Facilities,Fracture Repair,237,"1,452",0.4,9.6
2009/10,All Health Authorities,All Facilities,Free Flap Graft,26,116,3,16.9
2009/10,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,<5,57,1.1,7.7
2009/10,All Health Authorities,All Facilities,Hand/Wrist Surgery,838,"2,236",6.3,24
2009/10,All Health Authorities,All Facilities,Hernia Repair - Abdominal,"4,105","10,479",7,27.1
2009/10,All Health Authorities,All Facilities,Hernia Repair - Chest Wall,0,<5,,
2009/10,All Health Authorities,All Facilities,Hernia Repair - Hiatal,206,269,10.9,35.9
2009/10,All Health Authorities,All Facilities,Hip Replacement,"1,576","4,242",10.4,27.6
2009/10,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,168,"1,237",3.1,10
2009/10,All Health Authorities,All Facilities,Knee - ACL Repair,726,"1,731",8.1,28.7
2009/10,All Health Authorities,All Facilities,Knee - Meniscectomy,668,"2,003",6,29.8
2009/10,All Health Authorities,All Facilities,Knee Arthroscopy,"2,751","6,810",6.4,27.7
2009/10,All Health Authorities,All Facilities,Knee Replacement,"3,354","6,466",12,35.7
2009/10,All Health Authorities,All Facilities,Laparoscopy,462,"1,868",4.6,16
2009/10,All Health Authorities,All Facilities,Laparotomy,54,508,2.6,9.8
2009/10,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,442,"2,716",1.6,13.4
2009/10,All Health Authorities,All Facilities,Ligament Surgery,52,162,6.8,25
2009/10,All Health Authorities,All Facilities,Lipectomy,37,146,6.3,27.6
2009/10,All Health Authorities,All Facilities,Lung Surgery,61,582,2.4,5
2009/10,All Health Authorities,All Facilities,Male Reproductive Surgery,805,"2,117",5.6,22.5
2009/10,All Health Authorities,All Facilities,Mastectomy,346,"3,780",1.9,5.6
2009/10,All Health Authorities,All Facilities,Mastoidectomy,111,259,9.7,38.7
2009/10,All Health Authorities,All Facilities,Myringotomy,321,"1,387",4.7,13.3
2009/10,All Health Authorities,All Facilities,Nasal Surgery,"2,050","3,004",10,40
2009/10,All Health Authorities,All Facilities,Nerve Surgery,596,"1,109",5,33.6
2009/10,All Health Authorities,All Facilities,Oral Cavity & Pharynx Surgery,87,341,6.6,24.7
2009/10,All Health Authorities,All Facilities,Other Ear Surgery,84,182,9.9,37.9
2009/10,All Health Authorities,All Facilities,Other Eye Surgery,"1,299","4,005",4.6,27.1
2009/10,All Health Authorities,All Facilities,Other Joint Reconstruction,898,"1,819",7.9,41.6
2009/10,All Health Authorities,All Facilities,Other Orthopaedic Surgery,"2,568","6,422",5.6,28.9
2009/10,All Health Authorities,All Facilities,Other Urology Surgery,"1,528","6,699",3.7,16.9
2009/10,All Health Authorities,All Facilities,Parotidectomy,109,311,5,21.9
2009/10,All Health Authorities,All Facilities,Prostate Surgery,"1,330","5,113",4.9,19.6
2009/10,All Health Authorities,All Facilities,Rectal Surgery,815,"1,581",7,27.7
2009/10,All Health Authorities,All Facilities,Rib Resection,47,50,27.4,68.9
2009/10,All Health Authorities,All Facilities,Scope of Chest,69,714,2,5
2009/10,All Health Authorities,All Facilities,Shoulder Surgery,"2,010","2,884",10.1,41.9
2009/10,All Health Authorities,All Facilities,Shunt Insertion/Removal,10,69,1,5.3
2009/10,All Health Authorities,All Facilities,Sinus Surgery,"1,304","1,686",10.4,41.6
2009/10,All Health Authorities,All Facilities,Skin Surgery,267,920,3.9,25.9
2009/10,All Health Authorities,All Facilities,Skin Tumour Removal,691,"2,901",3.4,17.3
2009/10,All Health Authorities,All Facilities,Sphincterotomy,75,190,4,21.6
2009/10,All Health Authorities,All Facilities,Spinal/Back Surgery,"1,662","3,135",5.9,30
2009/10,All Health Authorities,All Facilities,Tendon Surgery,231,728,2,20
2009/10,All Health Authorities,All Facilities,Thoracotomy,18,145,3.1,7.1
2009/10,All Health Authorities,All Facilities,Thyroidectomy,309,"1,263",4.9,16.1
2009/10,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,"1,676","3,272",9.9,31
2009/10,All Health Authorities,All Facilities,Tympanoplasty,512,720,12,50
2009/10,All Health Authorities,All Facilities,Uterine Surgery,"2,773","11,980",5,17.7
2009/10,All Health Authorities,All Facilities,Vaginal Repair,649,"1,588",8.1,32.2
2009/10,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,"1,701","1,169",10,58.9
2009/10,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,204,677,4,17.5
2009/10,All Health Authorities,All Facilities,Vascular Surgery - Other,302,"1,528",2.3,12.6
2009/10,All Health Authorities,All Facilities,Wound/Laceration Care,318,"1,118",2.3,18.4
